Timestamp,Consent,Current role,Years working with OOP / UML design,Familiarity with AI system quality / maintainability,Exposure to healthcare / medical software systems,"M5 Evaluation: Retrainability & Monitorability [Q1. The separation of ModelManager and MonitoringService supports safe, independent retraining.]",M5 Evaluation: Retrainability & Monitorability [Q2. The rollback(version) method is sufficient to recover from failed deployment.],M5 Evaluation: Retrainability & Monitorability [Q3. MonitoringService tracking methods provide adequate coverage to detect degradation.],M5 Evaluation: Retrainability & Monitorability [Q4. The alertDegradation() method triggering ModelManager is a clean design.],"Q5. What additional attribute or method, if any, would strengthen M5's retrainability or monitorability?",M4 Evaluation: Reproducibility [Q6. AuditLogger captures sufficient info to reconstruct past interpretation sessions.],M4 Evaluation: Reproducibility [Q7. Storing fileHash is necessary for verifying input integrity.],M4 Evaluation: Reproducibility [Q8. AuditLogger design as a separate class is correct for independent audit concerns.],Q9. Is there any data that AuditLogger is currently NOT storing that would be critical?,M2 Evaluation: Explainability & Reproducibility [Q10. explainAbnormality() is correctly placed and has the right parameters.],M2 Evaluation: Explainability & Reproducibility [Q11. RAGEngine.groundResponse() meaningfully supports explainability.],M2 Evaluation: Explainability & Reproducibility [Q12. Using subclasses (Layman/Clinical) is correct for different audiences.],M2 Evaluation: Explainability & Reproducibility [Q13. sessionId/modelVersion + AuditLogger are sufficient for reproduction.],Q14. Is there an explainability concern in this module that the design does NOT address?,M1 & M3 Evaluation [Q15. OCR confidence attribute is a meaningful signal for quality degradation.],M1 & M3 Evaluation [Q16. Redundant fileHash storage is justified for verification.],M1 & M3 Evaluation [Q17. Trend classification labels (Stable/Recovering) contribute to explainability.],M1 & M3 Evaluation [Q18. Independent design of HistoricalAnalyzer from the AI model is correct.],"Overall Characteristic Assessment [Q19. Retrainability: Supports model retraining as a routine, low-risk operation.]",Overall Characteristic Assessment [Q20. Reproducibility: Traces every output via AuditLogger and fileHash.],Overall Characteristic Assessment [Q21. Explainability: Delivers appropriate explainability for medical AI.],Overall Characteristic Assessment [Q22. Monitorability: Design is sufficient to prevent silent AI degradation.],Q23. Which characteristic is LEAST well-supported by the current class design?,Q24. Would you use this class diagram as a reference OOP design for building a similar system?,Q25. Suggest one specific change to the class diagram that would most improve the system.,,,,,
4/15/2026 14:45:16,I have reviewed the MedReport Interpreter class diagram and understand the purpose of the system before proceeding.,AI / ML engineer,1–3 years,Working knowledge,Academic / coursework only,2,3,2,3,,4,5 (Strongly Agree),3,,5 (Strongly Agree),3,4,2,,4,2,4,2,4,4,4,2,Reproducibility,"Yes, with modifications",,,,,,
4/15/2026 17:21:51,I have reviewed the MedReport Interpreter class diagram and understand the purpose of the system before proceeding.,Software engineering student (MS/PhD),Less than 1 year,Working knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4/15/2026 17:26:06,I have reviewed the MedReport Interpreter class diagram and understand the purpose of the system before proceeding.,Software architect,8+ years,Expert level,Significant experience,1 (Strongly Disagree),1 (Strongly Disagree),2,2,,1 (Strongly Disagree),2,1 (Strongly Disagree),Many scenarios,2,1 (Strongly Disagree),1 (Strongly Disagree),2,It is just 20℅ scalable,1 (Strongly Disagree),2,1 (Strongly Disagree),2,2,1 (Strongly Disagree),2,1 (Strongly Disagree),Monitorability,"Yes, with modifications",,,,,,
4/15/2026 17:55:33,I have reviewed the MedReport Interpreter class diagram and understand the purpose of the system before proceeding.,AI / ML engineer,1–3 years,Working knowledge,Academic / coursework only,3,4,3,4,,5 (Strongly Agree),5 (Strongly Agree),5 (Strongly Agree),,4,3,5 (Strongly Agree),4,,3,3,5 (Strongly Agree),5 (Strongly Agree),3,2,5 (Strongly Agree),5 (Strongly Agree),Retrainability,"Yes, as-is",,,,,,
4/15/2026 18:13:22,I have reviewed the MedReport Interpreter class diagram and understand the purpose of the system before proceeding.,AI / ML engineer,1–3 years,Working knowledge,Academic / coursework only,4,4,3,2,,5 (Strongly Agree),5 (Strongly Agree),4,,4,5 (Strongly Agree),2,4,There shouldn't be different classes for different audiences.,3,3,5 (Strongly Agree),5 (Strongly Agree),4,3,5 (Strongly Agree),5 (Strongly Agree),Explainability,"Yes, with modifications",,,,,,
4/17/2026 17:15:22,I have reviewed the MedReport Interpreter class diagram and understand the purpose of the system before proceeding.,AI / ML engineer,1–3 years,Working knowledge,Some industry exposure,5 (Strongly Agree),4,4,3,,3,5 (Strongly Agree),2,,3,1 (Strongly Disagree),3,3,,2,2,3,5 (Strongly Agree),2,4,3,1 (Strongly Disagree),Explainability,"Yes, with modifications",,,,,,
4/18/2026 12:07:33,I have reviewed the MedReport Interpreter class diagram and understand the purpose of the system before proceeding.,Software engineer / developer,1–3 years,None — first time,Academic / coursework only,4,3,1 (Strongly Disagree),5 (Strongly Agree),,3,1 (Strongly Disagree),5 (Strongly Agree),,1 (Strongly Disagree),4,1 (Strongly Disagree),3,,2,5 (Strongly Agree),3,1 (Strongly Disagree),1 (Strongly Disagree),5 (Strongly Agree),4,2,Reproducibility,"Yes, with modifications",,,,,,
4/18/2026 12:08:51,I have reviewed the MedReport Interpreter class diagram and understand the purpose of the system before proceeding.,Software engineering student (MS/PhD),8+ years,Basic awareness,Some industry exposure,3,1 (Strongly Disagree),2,4,,1 (Strongly Disagree),4,2,,2,5 (Strongly Agree),1 (Strongly Disagree),4,,2,3,1 (Strongly Disagree),3,2,4,1 (Strongly Disagree),5 (Strongly Agree),,"Yes, as-is",,,,,,
4/18/2026 12:10:12,I have reviewed the MedReport Interpreter class diagram and understand the purpose of the system before proceeding.,Healthcare IT professional,Less than 1 year,Expert level,None,1 (Strongly Disagree),5 (Strongly Agree),2,4,,1 (Strongly Disagree),2,5 (Strongly Agree),,5 (Strongly Agree),1 (Strongly Disagree),2,4,,1 (Strongly Disagree),2,4,1 (Strongly Disagree),1 (Strongly Disagree),4,5 (Strongly Agree),1 (Strongly Disagree),Explainability,No,,,,,,
4/18/2026 12:14:59,I have reviewed the MedReport Interpreter class diagram and understand the purpose of the system before proceeding.,Software engineering student (MS/PhD),Less than 1 year,Basic awareness,Academic / coursework only,3,4,5 (Strongly Agree),3,,3,5 (Strongly Agree),4,,2,5 (Strongly Agree),5 (Strongly Agree),3,,3,5 (Strongly Agree),5 (Strongly Agree),4,4,4,5 (Strongly Agree),3,Reproducibility,"Yes, with modifications",,,,,,
4/18/2026 12:28:12,I have reviewed the MedReport Interpreter class diagram and understand the purpose of the system before proceeding.,Software engineering student (MS/PhD),4–7 years,Working knowledge,Academic / coursework only,4,4,4,5 (Strongly Agree),,3,4,4,,5 (Strongly Agree),4,5 (Strongly Agree),5 (Strongly Agree),,4,4,4,4,4,4,4,4,Explainability,"Yes, with modifications",,,,,,
4/18/2026 12:40:05,I have reviewed the MedReport Interpreter class diagram and understand the purpose of the system before proceeding.,Software engineering student (MS/PhD),Less than 1 year,None — first time,Academic / coursework only,2,2,3,2,Modifybality,2,2,2,,2,2,2,2,,2,2,2,2,2,2,2,2,Monitorability,"Yes, with modifications",Not required to improve ,,,,,
4/18/2026 18:24:44,I have reviewed the MedReport Interpreter class diagram and understand the purpose of the system before proceeding.,Software engineering student (MS/PhD),1–3 years,Working knowledge,Some industry exposure,2,1 (Strongly Disagree),1 (Strongly Disagree),2,,2,2,2,,2,2,2,2,,2,2,2,2,1 (Strongly Disagree),3,3,3,Reproducibility,No,,,,,,
4/19/2026 9:11:29,I have reviewed the MedReport Interpreter class diagram and understand the purpose of the system before proceeding.,Software engineering student (MS/PhD),1–3 years,Basic awareness,Academic / coursework only,1 (Strongly Disagree),2,2,2,,2,5 (Strongly Agree),4,Not yet.,3,3,3,3,Don't know.,3,5 (Strongly Agree),4,5 (Strongly Agree),2,5 (Strongly Agree),4,5 (Strongly Agree),Explainability,"Yes, with modifications",I have no resurch on it yet!,,,,,
4/22/2026 11:28:51,I have reviewed the MedReport Interpreter class diagram and understand the purpose of the system before proceeding.,Software engineer / developer,1–3 years,Working knowledge,Academic / coursework only,5 (Strongly Agree),4,4,5 (Strongly Agree),"To improve retrainability and monitoring, we can add an autoRollbackOnFailure() method along with drift detection and proper model data tracking. This method will automatically switch back to the previous stable model if performance goes down (like low accuracy, high latency, or poor business results). Drift detection will help us know when data patterns change so we can retrain the model on time. Also, keeping details like modelVersion, performanceMetrics, and dataVersion makes it easier to track and manage models. Overall, this makes the system more reliable, automatic, and ready for real-world use.",4,5 (Strongly Agree),4,"Yes, AuditLogger should also store some more important data like model version used, input parameters/settings, timestamp, and user ID. Without these, it can be difficult to fully reproduce or understand past interpretation results. Adding this information will make the system more reliable and help in proper auditing and debugging.",5 (Strongly Agree),5 (Strongly Agree),4,5 (Strongly Agree),N/A,5 (Strongly Agree),4,4,5 (Strongly Agree),5 (Strongly Agree),4,4,5 (Strongly Agree),Explainability,"Yes, with modifications",Add an ExplainabilityService class that provides reasons behind model predictions (like feature importance or decision explanation). This will make system more trustworthy and suitable for medical use.,,,,,
4/22/2026 17:48:56,I have reviewed the MedReport Interpreter class diagram and understand the purpose of the system before proceeding.,Software architect,4–7 years,Expert level,Significant experience,3,3,3,,,3,3,3,,5 (Strongly Agree),5 (Strongly Agree),5 (Strongly Agree),5 (Strongly Agree),,5 (Strongly Agree),5 (Strongly Agree),5 (Strongly Agree),5 (Strongly Agree),5 (Strongly Agree),5 (Strongly Agree),5 (Strongly Agree),5 (Strongly Agree),Explainability,"Yes, with modifications",,,,,,
4/22/2026 18:23:04,I have reviewed the MedReport Interpreter class diagram and understand the purpose of the system before proceeding.,Computer Science ,Less than 1 year,Working knowledge,Academic / coursework only,3,3,3,4,,4,4,4,,4,4,4,4,,4,4,3,4,4,4,4,4,Monitorability,"Yes, as-is",,,,,,
4/22/2026 18:41:53,I have reviewed the MedReport Interpreter class diagram and understand the purpose of the system before proceeding.,Software engineering student (UG),Less than 1 year,Working knowledge,Academic / coursework only,1 (Strongly Disagree),2,1 (Strongly Disagree),2,,2,2,2,,1 (Strongly Disagree),2,1 (Strongly Disagree),1 (Strongly Disagree),,1 (Strongly Disagree),2,1 (Strongly Disagree),2,1 (Strongly Disagree),2,2,1 (Strongly Disagree),Reproducibility,"Yes, as-is",,,,,,
4/22/2026 20:15:02,I have reviewed the MedReport Interpreter class diagram and understand the purpose of the system before proceeding.,DevOps Engineer,Less than 1 year,Working knowledge,Some industry exposure,3,5 (Strongly Agree),3,5 (Strongly Agree),,3,5 (Strongly Agree),4,,2,5 (Strongly Agree),4,5 (Strongly Agree),,2,5 (Strongly Agree),4,5 (Strongly Agree),2,3,1 (Strongly Disagree),3,Reproducibility,No,,,,,,
